mfp,0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.10,0.15,0.20,0.30,0.40,0.50,0.60,0.80,1.00,1.50,2.00,3.00,4.00,5.00,6.00,8.00,10.00,15.00
0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.5,1.02E+00,1.04E+00,1.13E+00,1.28E+00,1.46E+00,1.62E+00,1.81E+00,1.87E+00,1.84E+00,1.77E+00,1.68E+00,1.61E+00,1.57E+00,1.53E+00,1.48E+00,1.45E+00,1.40E+00,1.38E+00,1.34E+00,1.32E+00,1.30E+00,1.29E+00,1.26E+00,1.25E+00,1.22E+00
1.0,1.03E+00,1.06E+00,1.21E+00,1.45E+00,1.77E+00,2.09E+00,2.55E+00,2.75E+00,2.81E+00,2.71E+00,2.52E+00,2.37E+00,2.27E+00,2.19E+00,2.07E+00,1.99E+00,1.86E+00,1.79E+00,1.70E+00,1.63E+00,1.58E+00,1.55E+00,1.49E+00,1.44E+00,1.39E+00
2.0,1.04E+00,1.09E+00,1.30E+00,1.68E+00,2.23E+00,2.86E+00,3.94E+00,4.60E+00,5.11E+00,5.04E+00,4.66E+00,4.30E+00,4.02E+00,3.81E+00,3.48E+00,3.25E+00,2.89E+00,2.68E+00,2.41E+00,2.23E+00,2.11E+00,2.02E+00,1.88E+00,1.79E+00,1.69E+00
3.0,1.05E+00,1.11E+00,1.36E+00,1.85E+00,2.59E+00,3.51E+00,5.28E+00,6.59E+00,7.89E+00,7.99E+00,7.42E+00,6.78E+00,6.25E+00,5.84E+00,5.19E+00,4.74E+00,4.04E+00,3.64E+00,3.14E+00,2.83E+00,2.63E+00,2.48E+00,2.26E+00,2.13E+00,1.97E+00
4.0,1.05E+00,1.13E+00,1.41E+00,1.99E+00,2.91E+00,4.11E+00,6.63E+00,8.73E+00,1.11E+01,1.16E+01,1.08E+01,9.83E+00,8.96E+00,8.27E+00,7.20E+00,6.44E+00,5.31E+00,4.66E+00,3.90E+00,3.44E+00,3.15E+00,2.94E+00,2.65E+00,2.46E+00,2.24E+00
5.0,1.06E+00,1.14E+00,1.46E+00,2.11E+00,3.19E+00,4.68E+00,7.99E+00,1.10E+01,1.49E+01,1.59E+01,1.50E+01,1.35E+01,1.22E+01,1.11E+01,9.49E+00,8.36E+00,6.67E+00,5.74E+00,4.68E+00,4.06E+00,3.67E+00,3.40E+00,3.03E+00,2.79E+00,2.52E+00
6.0,1.06E+00,1.15E+00,1.49E+00,2.21E+00,3.45E+00,5.22E+00,9.38E+00,1.35E+01,1.92E+01,2.09E+01,1.99E+01,1.78E+01,1.59E+01,1.44E+01,1.21E+01,1.05E+01,8.12E+00,6.86E+00,5.47E+00,4.69E+00,4.20E+00,3.87E+00,3.41E+00,3.12E+00,2.80E+00
7.0,1.07E+00,1.16E+00,1.53E+00,2.31E+00,3.70E+00,5.76E+00,1.08E+01,1.62E+01,2.41E+01,2.67E+01,2.56E+01,2.27E+01,2.02E+01,1.81E+01,1.49E+01,1.28E+01,9.65E+00,8.03E+00,6.29E+00,5.33E+00,4.74E+00,4.34E+00,3.79E+00,3.46E+00,3.07E+00
8.0,1.07E+00,1.16E+00,1.56E+00,2.40E+00,3.93E+00,6.27E+00,1.23E+01,1.91E+01,2.96E+01,3.34E+01,3.21E+01,2.84E+01,2.50E+01,2.22E+01,1.81E+01,1.52E+01,1.13E+01,9.24E+00,7.12E+00,5.97E+00,5.27E+00,4.81E+00,4.18E+00,3.79E+00,3.36E+00
10.0,1.08E+00,1.18E+00,1.61E+00,2.56E+00,4.37E+00,7.29E+00,1.53E+01,2.54E+01,4.24E+01,4.96E+01,4.81E+01,4.20E+01,3.64E+01,3.18E+01,2.52E+01,2.07E+01,1.47E+01,1.18E+01,8.81E+00,7.27E+00,6.35E+00,5.76E+00,4.96E+00,4.47E+00,3.93E+00
15.0,1.09E+00,1.20E+00,1.71E+00,2.90E+00,5.35E+00,9.71E+00,2.34E+01,4.45E+01,8.67E+01,1.09E+02,1.07E+02,9.04E+01,7.53E+01,6.36E+01,4.73E+01,3.71E+01,2.42E+01,1.85E+01,1.32E+01,1.06E+01,9.09E+00,8.15E+00,6.93E+00,6.21E+00,5.43E+00
20.0,1.09E+00,1.22E+00,1.79E+00,3.18E+00,6.21E+00,1.20E+01,3.23E+01,6.83E+01,1.51E+02,2.01E+02,1.98E+02,1.62E+02,1.30E+02,1.07E+02,7.53E+01,5.68E+01,3.48E+01,2.58E+01,1.78E+01,1.40E+01,1.19E+01,1.06E+01,8.95E+00,8.00E+00,7.04E+00
25.0,1.10E+00,1.23E+00,1.85E+00,3.42E+00,6.98E+00,1.42E+01,4.17E+01,9.68E+01,2.37E+02,3.32E+02,3.25E+02,2.58E+02,2.01E+02,1.60E+02,1.09E+02,7.93E+01,4.63E+01,3.35E+01,2.24E+01,1.74E+01,1.47E+01,1.30E+01,1.10E+01,9.83E+00,8.74E+00
30.0,1.10E+00,1.25E+00,1.91E+00,3.63E+00,7.70E+00,1.64E+01,5.18E+01,1.30E+02,3.48E+02,5.09E+02,4.95E+02,3.81E+02,2.89E+02,2.25E+02,1.47E+02,1.05E+02,5.85E+01,4.15E+01,2.72E+01,2.08E+01,1.75E+01,1.55E+01,1.31E+01,1.17E+01,1.05E+01
35.0,1.11E+00,1.26E+00,1.96E+00,3.82E+00,8.38E+00,1.85E+01,6.23E+01,1.68E+02,4.85E+02,7.37E+02,7.11E+02,5.32E+02,3.94E+02,3.00E+02,1.90E+02,1.32E+02,7.13E+01,4.98E+01,3.20E+01,2.43E+01,2.03E+01,1.80E+01,1.52E+01,1.36E+01,1.24E+01
40.0,1.11E+00,1.27E+00,2.00E+00,3.99E+00,9.02E+00,2.06E+01,7.33E+01,2.10E+02,6.51E+02,1.02E+03,9.79E+02,7.14E+02,5.17E+02,3.87E+02,2.38E+02,1.62E+02,8.47E+01,5.84E+01,3.69E+01,2.78E+01,2.31E+01,2.04E+01,1.73E+01,1.56E+01,1.44E+01
45.0,1.12E+00,1.27E+00,2.04E+00,4.15E+00,9.63E+00,2.26E+01,8.48E+01,2.57E+02,8.47E+02,1.38E+03,1.30E+03,9.28E+02,6.58E+02,4.83E+02,2.90E+02,1.94E+02,9.85E+01,6.71E+01,4.19E+01,3.13E+01,2.60E+01,2.29E+01,1.94E+01,1.75E+01,1.64E+01
50.0,1.12E+00,1.28E+00,2.07E+00,4.31E+00,1.02E+01,2.46E+01,9.67E+01,3.08E+02,1.08E+03,1.80E+03,1.69E+03,1.17E+03,8.16E+02,5.90E+02,3.47E+02,2.28E+02,1.13E+02,7.60E+01,4.69E+01,3.48E+01,2.88E+01,2.54E+01,2.15E+01,1.95E+01,1.86E+01
55.0,1.12E+00,1.29E+00,2.11E+00,4.46E+00,1.08E+01,2.67E+01,1.09E+02,3.64E+02,1.34E+03,2.30E+03,2.13E+03,1.45E+03,9.93E+02,7.08E+02,4.08E+02,2.64E+02,1.27E+02,8.51E+01,5.20E+01,3.84E+01,3.17E+01,2.80E+01,2.37E+01,2.16E+01,2.08E+01
60.0,1.12E+00,1.29E+00,2.14E+00,4.60E+00,1.14E+01,2.87E+01,1.22E+02,4.24E+02,1.64E+03,2.88E+03,2.65E+03,1.77E+03,1.19E+03,8.36E+02,4.72E+02,3.01E+02,1.43E+02,9.44E+01,5.71E+01,4.19E+01,3.45E+01,3.05E+01,2.59E+01,2.36E+01,2.31E+01
65.0,1.13E+00,1.30E+00,2.17E+00,4.74E+00,1.20E+01,3.07E+01,1.35E+02,4.89E+02,1.98E+03,3.55E+03,3.23E+03,2.12E+03,1.40E+03,9.75E+02,5.41E+02,3.41E+02,1.58E+02,1.04E+02,6.22E+01,4.55E+01,3.74E+01,3.30E+01,2.81E+01,2.57E+01,2.54E+01
70.0,1.13E+00,1.30E+00,2.20E+00,4.88E+00,1.25E+01,3.28E+01,1.49E+02,5.59E+02,2.36E+03,4.32E+03,3.90E+03,2.51E+03,1.64E+03,1.12E+03,6.15E+02,3.83E+02,1.74E+02,1.13E+02,6.74E+01,4.91E+01,4.03E+01,3.56E+01,3.03E+01,2.78E+01,2.79E+01
75.0,1.13E+00,1.31E+00,2.23E+00,5.01E+00,1.31E+01,3.48E+01,1.63E+02,6.34E+02,2.78E+03,5.19E+03,4.64E+03,2.94E+03,1.89E+03,1.29E+03,6.92E+02,4.26E+02,1.90E+02,1.23E+02,7.27E+01,5.28E+01,4.33E+01,3.82E+01,3.26E+01,3.00E+01,3.04E+01
80.0,1.13E+00,1.31E+00,2.26E+00,5.14E+00,1.36E+01,3.69E+01,1.78E+02,7.14E+02,3.24E+03,6.17E+03,5.46E+03,3.41E+03,2.17E+03,1.46E+03,7.73E+02,4.71E+02,2.06E+02,1.33E+02,7.80E+01,5.65E+01,4.62E+01,4.08E+01,3.49E+01,3.21E+01,3.29E+01
85.0,1.13E+00,1.32E+00,2.28E+00,5.27E+00,1.42E+01,3.90E+01,1.94E+02,7.99E+02,3.75E+03,7.26E+03,6.38E+03,3.92E+03,2.46E+03,1.64E+03,8.58E+02,5.18E+02,2.23E+02,1.43E+02,8.34E+01,6.02E+01,4.92E+01,4.34E+01,3.71E+01,3.43E+01,3.56E+01
90.0,1.13E+00,1.32E+00,2.31E+00,5.40E+00,1.47E+01,4.12E+01,2.09E+02,8.89E+02,4.31E+03,8.47E+03,7.38E+03,4.47E+03,2.78E+03,1.83E+03,9.47E+02,5.66E+02,2.40E+02,1.53E+02,8.89E+01,6.39E+01,5.22E+01,4.61E+01,3.95E+01,3.66E+01,3.83E+01
95.0,1.13E+00,1.33E+00,2.34E+00,5.52E+00,1.53E+01,4.34E+01,2.26E+02,9.84E+02,4.91E+03,9.82E+03,8.48E+03,5.07E+03,3.11E+03,2.04E+03,1.04E+03,6.17E+02,2.57E+02,1.63E+02,9.44E+01,6.78E+01,5.53E+01,4.88E+01,4.18E+01,3.88E+01,4.12E+01
100.0,1.14E+00,1.33E+00,2.36E+00,5.65E+00,1.59E+01,4.56E+01,2.43E+02,1.08E+03,5.57E+03,1.13E+04,9.69E+03,5.72E+03,3.47E+03,2.25E+03,1.14E+03,6.69E+02,2.74E+02,1.74E+02,1.00E+02,7.16E+01,5.84E+01,5.15E+01,4.42E+01,4.11E+01,4.41E+01
