energy,mu_mass
1.00E-03,9.09E+03
1.50E-03,3.40E+03
2.00E-03,1.63E+03
3.00E-03,5.58E+02
4.00E-03,2.57E+02
5.00E-03,1.40E+02
6.00E-03,8.48E+01
7.11E-03,5.32E+01
7.11E-03,4.08E+02
8.00E-03,3.06E+02
1.00E-02,1.71E+02
1.50E-02,5.71E+01
2.00E-02,2.57E+01
3.00E-02,8.18E+00
4.00E-02,3.63E+00
5.00E-02,1.96E+00
6.00E-02,1.21E+00
8.00E-02,5.95E-01
1.00E-01,3.72E-01
1.50E-01,1.96E-01
2.00E-01,1.46E-01
3.00E-01,1.10E-01
4.00E-01,9.40E-02
5.00E-01,8.42E-02
6.00E-01,7.70E-02
8.00E-01,6.70E-02
1.00E+00,6.00E-02
1.02E+00,5.93E-02
1.25E+00,5.35E-02
1.50E+00,4.88E-02
2.00E+00,4.27E-02
2.04E+00,4.22E-02
3.00E+00,3.62E-02
4.00E+00,3.31E-02
5.00E+00,3.15E-02
6.00E+00,3.06E-02
7.00E+00,3.01E-02
8.00E+00,2.99E-02
9.00E+00,2.99E-02
1.00E+01,2.99E-02
1.10E+01,3.01E-02
1.20E+01,3.03E-02
1.30E+01,3.04E-02
1.40E+01,3.07E-02
1.50E+01,3.09E-02
1.60E+01,3.12E-02
1.80E+01,3.17E-02
2.00E+01,3.22E-02
2.20E+01,3.28E-02
2.40E+01,3.33E-02
2.60E+01,3.38E-02
2.80E+01,3.42E-02
3.00E+01,3.47E-02
4.00E+01,3.67E-02
5.00E+01,3.83E-02
6.00E+01,3.96E-02
8.00E+01,4.17E-02
1.00E+02,4.33E-02
1.50E+02,4.59E-02
2.00E+02,4.76E-02
3.00E+02,4.95E-02
4.00E+02,5.07E-02
5.00E+02,5.15E-02
6.00E+02,5.20E-02
8.00E+02,5.28E-02
1.00E+03,5.33E-02
1.50E+03,5.40E-02
2.00E+03,5.44E-02
3.00E+03,5.48E-02
4.00E+03,5.51E-02
5.00E+03,5.52E-02
6.00E+03,5.53E-02
8.00E+03,5.54E-02
1.00E+04,5.55E-02
1.50E+04,5.57E-02
2.00E+04,5.57E-02
3.00E+04,5.58E-02
4.00E+04,5.58E-02
5.00E+04,5.59E-02
6.00E+04,5.59E-02
8.00E+04,5.59E-02
1.00E+05,5.59E-02
