energy,mu_mass
1.00E-003,4.08E+003
1.50E-003,1.38E+003
2.00E-003,6.17E+002
3.00E-003,1.93E+002
4.00E-003,8.28E+001
5.00E-003,4.26E+001
6.00E-003,2.46E+001
8.00E-003,1.04E+001
1.00E-002,5.33E+000
1.50E-002,1.67E+000
2.00E-002,8.10E-001
3.00E-002,3.76E-001
4.00E-002,2.68E-001
5.00E-002,2.27E-001
6.00E-002,2.06E-001
8.00E-002,1.84E-001
1.00E-001,1.71E-001
1.50E-001,1.51E-001
2.00E-001,1.37E-001
3.00E-001,1.19E-001
4.00E-001,1.06E-001
5.00E-001,9.69E-002
6.00E-001,8.96E-002
8.00E-001,7.87E-002
1.00E+000,7.07E-002
1.25E+000,6.32E-002
1.50E+000,5.75E-002
2.00E+000,4.94E-002
3.00E+000,3.97E-002
4.00E+000,3.40E-002
5.00E+000,3.03E-002
6.00E+000,2.77E-002
8.00E+000,2.43E-002
1.00E+001,2.22E-002
1.50E+001,1.94E-002
2.00E+001,1.81E-002
2.00E+001,1.81E-002
